id,roll,adv,basis,type
144,10,none,melee,attack
145,9,none,charisma,check
146,9,none,melee,attack
147,1,advantage,dexterity,save
148,10,none,thieves’ tools,check
149,19,none,initiative,nan
150,13,none,constitution,check
151,9,none,constitution,save
152,19,none,wisdom,save
153,9,none,constitution,check
154,20,none,dexterity,save
155,20,none,strength,check
156,5,none,constitution,check
157,4,none,perception,check
158,3,none,dexterity,save
159,8,none,thieves’ tools,check
160,17,advantage,initiative,nan
161,11,none,melee,attack
162,12,none,perception,check
163,20,none,melee,attack
164,3,none,sleight of hand,check
165,8,none,initiative,nan
166,3,none,investigation,check
167,9,none,investigation,check
168,10,none,dexterity,save
169,11,none,persuasion,check
170,9,none,strength,save
171,14,advantage,initiative,nan
172,18,none,perception,check
173,8,none,athletics,check
174,1,none,persuasion,check
175,11,none,melee,attack
176,9,none,strength,save
177,7,none,intimidation,check
178,8,none,athletics,check
179,20,none,melee,attack
180,8,none,strength,save
181,3,disadvantage,melee,attack
182,8,none,athletics,check
183,17,none,melee,attack
184,8,none,ranged,attack
185,1,none,ranged,attack
186,18,none,melee,attack
187,19,none,deception,check
188,19,none,persuasion,check
189,11,none,melee,attack
190,12,none,melee,attack
191,12,none,initiative,nan
192,10,none,persuasion,check
193,20,none,investigation,check
194,14,none,dexterity,save
195,9,none,melee,attack
196,6,none,insight,check
197,2,disadvantage,strength,check
198,6,none,initiative,nan
199,18,none,dexterity,save
200,19,advantage,melee,attack
201,8,none,strength,check
202,7,none,athletics,check
203,3,none,melee,attack
204,18,none,stealth,check
205,1,none,sleight of hand,check
206,14,advantage,melee,attack
207,13,none,melee,attack
208,18,none,dexterity,save
209,7,none,insight,check
210,19,advantage,athletics,check
211,2,none,athletics,check
212,13,advantage,strength,check
213,18,none,initiative,nan
214,20,none,melee,attack
215,13,none,nature,check
216,5,none,wisdom,save
217,8,none,melee,attack
218,6,none,melee,attack
219,14,none,sleight of hand,check
220,14,none,persuasion,check
221,19,none,melee,attack
222,5,none,perception,check
223,18,none,melee,attack
224,11,none,strength,save
225,3,none,melee,attack
226,19,none,wisdom,save
227,3,disadvantage,melee,attack
228,13,none,dexterity,save
229,8,disadvantage,strength,check
230,9,none,strength,check
231,17,none,persuasion,check
232,17,none,dexterity,save
233,13,none,dexterity,save
234,16,none,dexterity,check
235,6,none,ranged,attack
236,10,none,dexterity,save
237,13,advantage,wisdom,save
238,3,none,strength,save
239,19,none,melee,attack
240,15,none,melee,attack
241,15,advantage,thieves’ tools,check
242,19,none,ranged,attack
243,18,none,ranged,attack
244,5,none,initiative,nan
245,4,none,melee,attack
246,19,advantage,wisdom,save
247,1,none,constitution,check
248,6,advantage,dexterity,save
249,13,none,strength,save
250,12,none,wisdom,save
251,6,none,sleight of hand,check
252,13,advantage,charisma,check
253,11,advantage,athletics,check
254,19,none,initiative,nan
255,6,none,constitution,save
256,7,none,melee,attack
257,11,advantage,melee,attack
258,12,none,intimidation,check
259,17,none,melee,attack
260,19,none,athletics,check
261,1,none,melee,attack
262,18,none,melee,attack
263,16,none,perception,check
264,8,none,athletics,check
265,14,none,melee,attack
266,20,none,constitution,save
267,18,none,perception,check
268,18,none,dexterity,save
269,19,none,melee,attack
270,11,none,ranged,attack
271,1,none,dexterity,check
272,2,none,perception,check
273,10,none,dexterity,save
274,10,none,athletics,check
275,14,none,athletics,check
276,18,none,initiative,nan
277,3,none,constitution,save
278,5,none,constitution,check
279,13,none,melee,attack
280,20,none,melee,attack
281,12,none,melee,attack
282,17,none,melee,attack
283,15,none,stealth,check
284,2,none,dexterity,save
285,10,advantage,wisdom,save
286,7,none,melee,attack
287,7,none,wisdom,save
288,8,none,melee,attack
289,12,none,melee,attack
290,2,none,initiative,nan
291,3,none,melee,attack
292,20,none,melee,attack
293,4,none,athletics,check
294,3,none,initiative,nan
295,14,advantage,melee,attack
296,17,none,strength,check
297,13,advantage,wisdom,save
298,12,none,melee,attack
299,18,none,thieves’ tools,check
300,8,none,melee,attack
301,1,none,charisma,check
302,7,none,ranged,attack
303,2,none,dexterity,save
304,6,none,investigation,check
305,11,none,dexterity,save
306,14,none,melee,attack
307,7,none,athletics,check
308,17,none,melee,attack
309,14,advantage,melee,attack
310,7,none,sleight of hand,check
311,6,none,dexterity,save
312,3,none,melee,attack
313,3,advantage,ranged,attack
314,2,none,constitution,check
315,12,none,melee,attack
316,5,none,athletics,check
317,7,none,constitution,save
318,16,none,perception,check
319,15,none,melee,attack
320,7,none,melee,attack
321,5,none,perception,check
322,10,none,sleight of hand,check
323,18,advantage,melee,attack
324,17,none,sleight of hand,check
325,7,none,sleight of hand,check
326,11,none,charisma,check
327,12,none,nature,check
328,11,none,melee,attack
329,18,advantage,initiative,nan
330,8,none,melee,attack
331,15,none,ranged,attack
332,20,none,arcana,check
333,4,none,melee,attack
334,16,none,dexterity,save
335,20,none,initiative,nan
336,17,advantage,dexterity,save
337,17,none,melee,attack
338,11,none,charisma,check
339,16,none,melee,attack
340,13,none,persuasion,check
341,12,none,melee,attack
342,13,none,persuasion,check
343,5,none,strength,save
344,3,none,melee,attack
345,12,none,deception,check
346,8,none,melee,attack
347,15,none,melee,attack
348,4,none,strength,check
349,15,none,dexterity,save
350,16,none,sleight of hand,check
351,19,none,melee,attack
352,14,advantage,dexterity,save
353,10,none,dexterity,check
354,9,advantage,sleight of hand,check
355,4,none,dexterity,check
356,12,none,charisma,check
357,13,none,initiative,nan
358,1,none,melee,attack
359,16,none,dexterity,save
360,20,none,melee,attack
361,16,none,melee,attack
362,7,none,sleight of hand,check
363,3,none,athletics,check
364,12,none,melee,attack
365,15,none,athletics,check
366,19,none,initiative,nan
367,16,none,melee,attack
368,20,advantage,melee,attack
369,8,none,melee,attack
370,4,none,charisma,check
371,3,none,melee,attack
372,8,none,constitution,save
373,3,none,sleight of hand,check
374,12,none,investigation,check
375,2,none,melee,attack
376,19,none,perception,check
377,18,none,melee,attack
378,9,none,stealth,check
379,9,none,dexterity,save
380,20,none,melee,attack
381,10,none,dexterity,save
382,19,none,melee,attack
383,16,none,charisma,check
384,5,none,melee,attack
385,20,none,initiative,nan
386,19,none,strength,save
387,2,none,dexterity,save
388,16,none,constitution,check
389,3,none,initiative,nan
390,13,advantage,melee,attack
391,19,none,medicine,check
392,2,none,melee,attack
393,15,advantage,melee,attack
394,3,none,melee,attack
395,13,none,initiative,nan
396,3,none,charisma,check
397,4,none,strength,check
398,19,none,dexterity,save
399,16,advantage,melee,attack
400,9,none,melee,attack
401,3,none,strength,check
402,10,none,initiative,nan
403,2,none,strength,check
404,17,none,dexterity,save
405,4,none,melee,attack
406,16,none,melee,attack
407,11,none,melee,attack
408,4,disadvantage,initiative,nan
409,14,none,stealth,check
410,13,disadvantage,constitution,save
411,11,none,strength,check
412,6,none,constitution,check
413,9,none,melee,attack
414,1,none,ranged,attack
415,6,none,strength,check
416,14,none,initiative,nan
417,5,none,melee,attack
418,8,none,melee,attack
419,10,none,athletics,check
420,12,none,athletics,check
421,12,none,melee,attack
422,9,none,insight,check
423,15,none,dexterity,save
424,19,none,athletics,check
425,7,none,investigation,check
426,10,none,perception,check
427,16,none,dexterity,save
428,1,none,dexterity,check
429,7,none,dexterity,save
430,19,none,constitution,check
431,11,none,melee,attack
432,8,advantage,strength,check
433,1,none,persuasion,check
434,15,none,melee,attack
435,15,none,athletics,check
436,5,none,charisma,check
437,17,none,ranged,attack
438,11,none,melee,attack
439,14,none,intimidation,check
440,7,none,melee,attack
441,6,none,perception,check
442,9,none,melee,attack
443,8,none,melee,attack
444,1,none,dexterity,save
445,13,none,melee,attack
446,20,none,initiative,nan
447,11,none,melee,attack
448,19,advantage,melee,attack
449,18,none,melee,attack
450,9,none,melee,attack
451,8,none,melee,attack
452,19,none,medicine,check
453,5,none,athletics,check
454,7,none,dexterity,save
455,2,none,charisma,check
456,14,none,perception,check
457,1,none,wisdom,save
458,11,none,perception,check
459,15,none,constitution,check
460,10,none,melee,attack
461,1,none,constitution,save
462,3,none,melee,attack
463,10,none,melee,attack
464,15,disadvantage,medicine,check
465,7,none,melee,attack
466,6,none,initiative,nan
467,14,advantage,strength,save
468,17,none,melee,attack
469,13,none,melee,attack
470,15,none,dexterity,save
471,20,advantage,constitution,save
472,19,none,investigation,check
473,1,none,wisdom,save
474,1,none,strength,check
475,20,none,wisdom,save
476,13,none,stealth,check
477,16,none,melee,attack
478,11,none,melee,attack
479,3,none,initiative,nan
480,2,advantage,dexterity,save
481,8,none,melee,attack
482,5,none,perception,check
483,19,none,strength,check
484,18,none,initiative,nan
485,10,none,constitution,save
486,15,advantage,melee,attack
487,20,advantage,strength,save
488,14,none,perception,check
489,6,none,dexterity,save
490,18,none,strength,check
491,15,none,sleight of hand,check
492,15,none,melee,attack
493,6,none,melee,attack
494,2,none,deception,check
495,12,none,melee,attack
496,6,none,perception,check
497,17,none,wisdom,save
498,16,none,dexterity,save
499,9,none,perception,check
500,9,none,strength,check
501,11,none,ranged,attack
502,6,none,athletics,check
503,15,none,athletics,check
504,14,none,constitution,save
505,13,none,melee,attack
506,19,advantage,dexterity,check
507,6,none,dexterity,save
508,1,none,investigation,check
509,10,none,stealth,check
510,1,none,initiative,nan
511,15,none,arcana,check
512,14,none,strength,check
513,16,none,dexterity,save
514,19,none,melee,attack
515,19,none,dexterity,save
516,15,none,melee,attack
517,9,none,athletics,check
518,20,none,strength,check
519,12,none,melee,attack
520,3,disadvantage,perception,check
521,5,none,dexterity,save
522,7,none,wisdom,save
523,4,none,perception,check
524,18,none,melee,attack
525,18,none,wisdom,save
526,1,none,athletics,check
527,5,none,wisdom,save
528,5,none,dexterity,save
529,4,none,melee,attack
530,20,none,melee,attack
531,13,none,dexterity,save
532,19,none,persuasion,check
533,2,none,melee,attack
534,3,none,dexterity,save
535,17,disadvantage,initiative,nan
536,9,none,wisdom,save
537,4,none,dexterity,save
538,19,none,initiative,nan
539,11,none,melee,attack
540,10,advantage,melee,attack
541,2,none,perception,check
542,2,none,melee,attack
543,13,none,strength,check
544,7,none,melee,attack
545,9,none,insight,check
546,13,none,wisdom,save
547,15,none,strength,check
548,14,none,sleight of hand,check
549,4,none,initiative,nan
550,1,none,dexterity,save
551,13,none,stealth,check
552,7,none,melee,attack
553,17,none,strength,check
554,16,none,strength,check
555,14,none,wisdom,save
556,2,none,melee,attack
557,11,none,stealth,check
558,20,none,stealth,check
559,13,none,melee,attack
560,9,none,nature,check
561,10,none,initiative,nan
562,12,none,initiative,nan
563,6,none,dexterity,save
564,19,advantage,melee,attack
565,7,none,melee,attack
566,10,disadvantage,intimidation,check
567,5,none,deception,check
568,15,none,melee,attack
569,15,none,melee,attack
570,2,none,intimidation,check
571,11,none,strength,check
572,14,none,initiative,nan
573,10,none,melee,attack
574,2,none,athletics,check
575,14,none,stealth,check
576,4,none,melee,attack
577,1,none,melee,attack
578,19,none,initiative,nan
579,16,none,athletics,check
580,1,none,melee,attack
581,18,none,strength,check
582,9,none,dexterity,save
583,18,none,initiative,nan
584,8,none,perception,check
585,2,none,melee,attack
586,17,none,melee,attack
587,2,none,melee,attack
588,12,advantage,thieves’ tools,check
589,15,none,strength,check
590,7,none,melee,attack
591,17,none,sleight of hand,check
592,13,none,dexterity,save
593,9,advantage,perception,check
594,9,none,ranged,attack
595,11,none,strength,save
596,15,none,constitution,save
597,16,none,initiative,nan
598,18,none,wisdom,save
599,10,none,intimidation,check
600,19,none,initiative,nan
601,16,none,perception,check
602,20,none,dexterity,save
603,12,none,thieves’ tools,check
604,7,none,melee,attack
605,12,none,melee,attack
606,7,none,strength,save
607,4,none,perception,check
608,5,none,sleight of hand,check
609,14,none,melee,attack
610,7,none,melee,attack
611,1,none,constitution,save
612,5,none,strength,save
613,13,advantage,perception,check
614,1,none,dexterity,check
615,14,advantage,strength,check
616,17,none,strength,check
617,6,none,dexterity,save
618,12,none,dexterity,save
619,12,none,constitution,save
620,15,advantage,dexterity,save
621,12,none,intimidation,check
622,5,none,dexterity,save
623,17,none,stealth,check
624,17,none,melee,attack
625,2,none,strength,save
626,16,none,strength,check
627,7,none,melee,attack
628,20,advantage,strength,check
629,5,none,constitution,check
630,7,none,investigation,check
631,19,none,dexterity,save
632,16,none,dexterity,save
633,5,none,wisdom,save
634,20,none,persuasion,check
635,18,none,wisdom,save
636,6,none,melee,attack
637,13,none,perception,check
638,9,none,initiative,nan
639,13,none,strength,save
640,19,none,melee,attack
641,7,none,melee,attack
642,2,none,melee,attack
643,2,none,dexterity,save
644,15,none,dexterity,save
645,9,none,strength,check
646,4,none,ranged,attack
647,13,none,melee,attack
648,14,none,strength,check
649,4,none,constitution,check
650,10,none,intimidation,check
651,14,none,ranged,attack
652,5,none,melee,attack
653,8,none,melee,attack
654,4,none,strength,check
655,3,advantage,melee,attack
656,13,none,melee,attack
657,1,none,investigation,check
658,3,none,melee,attack
659,10,advantage,melee,attack
660,12,advantage,investigation,check
661,19,advantage,initiative,nan
662,15,none,constitution,check
663,16,none,strength,save
664,11,none,melee,attack
665,4,none,ranged,attack
666,16,none,melee,attack
667,2,none,investigation,check
668,16,none,charisma,check
669,15,none,melee,attack
670,10,none,melee,attack
671,8,none,constitution,save
672,19,none,initiative,nan
673,3,none,dexterity,save
674,16,none,investigation,check
675,20,none,thieves’ tools,check
676,1,none,melee,attack
677,10,none,dexterity,save
678,7,none,melee,attack
679,16,none,melee,attack
680,11,none,dexterity,check
681,14,none,melee,attack
682,16,none,melee,attack
683,12,none,strength,check
684,18,none,melee,attack
685,10,none,strength,check
686,20,none,dexterity,save
687,4,none,persuasion,check
688,16,none,dexterity,save
689,9,none,melee,attack
690,14,none,ranged,attack
691,4,disadvantage,melee,attack
692,11,none,initiative,nan
693,11,none,athletics,check
694,15,advantage,dexterity,save
695,15,none,dexterity,save
696,15,advantage,dexterity,save
697,18,none,initiative,nan
698,14,none,nature,check
699,1,none,perception,check
700,16,none,dexterity,save
701,17,none,melee,attack
702,3,none,strength,check
703,4,none,investigation,check
704,3,none,initiative,nan
705,6,none,strength,check
706,13,none,melee,attack
707,4,none,strength,save
708,18,advantage,initiative,nan
709,11,none,strength,check
710,19,none,perception,check
711,5,none,charisma,check
712,16,none,athletics,check
713,15,advantage,athletics,check
714,14,none,strength,check
715,2,none,melee,attack
716,7,none,melee,attack
717,6,none,melee,attack
718,10,none,dexterity,save
719,20,none,dexterity,save
720,4,none,stealth,check
721,2,none,charisma,check
722,11,none,melee,attack
723,7,none,melee,attack
724,13,none,melee,attack
725,2,none,dexterity,save
726,11,none,perception,check
727,12,none,persuasion,check
728,11,none,strength,save
729,13,none,strength,check
730,11,none,melee,attack
731,4,none,dexterity,save
732,14,none,sleight of hand,check
733,3,none,nature,check
734,12,none,melee,attack
735,5,none,deception,check
736,8,none,strength,check
737,5,none,dexterity,save
738,4,none,melee,attack
739,8,none,constitution,save
740,18,none,ranged,attack
741,14,none,strength,check
742,8,none,persuasion,check
743,2,none,melee,attack
744,18,none,melee,attack
745,2,none,melee,attack
746,13,none,ranged,attack
747,17,none,initiative,nan
748,14,advantage,melee,attack
749,7,none,insight,check
750,19,none,investigation,check
751,2,disadvantage,sleight of hand,check
752,3,none,strength,save
753,16,advantage,melee,attack
754,12,none,constitution,check
755,17,none,perception,check
756,12,advantage,dexterity,save
757,3,none,dexterity,save
758,8,none,melee,attack
759,3,none,strength,check
760,10,none,melee,attack
761,3,advantage,melee,attack
762,8,none,melee,attack
763,4,none,melee,attack
764,5,none,athletics,check
765,4,none,strength,save
766,17,none,medicine,check
767,4,none,melee,attack
768,18,disadvantage,athletics,check
769,4,none,dexterity,save
770,13,none,persuasion,check
771,1,none,strength,check
772,17,none,melee,attack
773,2,none,sleight of hand,check
774,11,none,perception,check
775,19,none,ranged,attack
776,19,none,melee,attack
777,17,none,strength,check
778,1,none,dexterity,save
779,2,none,dexterity,save
780,2,none,dexterity,save
781,2,none,ranged,attack
782,12,none,initiative,nan
783,16,advantage,melee,attack
784,12,advantage,constitution,check
785,4,none,melee,attack
786,8,none,initiative,nan
787,3,none,dexterity,save
788,11,none,dexterity,save
789,9,none,strength,check
790,14,none,initiative,nan
791,18,none,initiative,nan
792,11,none,nature,check
793,16,none,initiative,nan
794,1,none,ranged,attack
795,6,none,melee,attack
796,8,none,dexterity,save
797,18,none,dexterity,save
798,19,none,constitution,check
799,9,none,dexterity,save
800,16,none,strength,save
801,20,none,intimidation,check
802,5,none,nature,check
803,13,advantage,ranged,attack
804,16,none,strength,check
805,7,none,melee,attack
806,20,none,initiative,nan
807,20,none,intimidation,check
808,18,none,melee,attack
809,16,none,ranged,attack
810,8,none,investigation,check
811,13,none,dexterity,save
812,12,advantage,constitution,check
813,14,none,initiative,nan
814,11,none,melee,attack
815,19,advantage,strength,save
816,13,none,melee,attack
817,20,none,dexterity,check
818,3,none,sleight of hand,check
819,14,advantage,thieves’ tools,check
820,1,disadvantage,strength,check
821,20,none,dexterity,save
822,5,none,sleight of hand,check
823,10,disadvantage,strength,check
824,8,none,melee,attack
825,19,none,athletics,check
826,12,none,melee,attack
827,7,none,melee,attack
828,20,none,sleight of hand,check
829,12,none,melee,attack
830,10,none,constitution,check
831,10,none,persuasion,check
832,2,none,melee,attack
833,6,none,investigation,check
834,17,none,dexterity,save
835,19,none,strength,check
836,13,none,strength,check
837,12,none,melee,attack
838,18,none,strength,check
839,17,none,perception,check
840,3,none,melee,attack
841,20,none,initiative,nan
842,18,none,thieves’ tools,check
843,17,none,perception,check
844,3,none,dexterity,save
845,4,none,strength,check
846,16,none,strength,check
847,13,advantage,perception,check
848,12,none,initiative,nan
849,14,none,melee,attack
850,4,none,melee,attack
851,14,advantage,melee,attack
852,8,none,melee,attack
853,9,none,arcana,check
854,12,none,wisdom,save
855,2,none,strength,check
856,11,none,strength,check
857,15,none,medicine,check
858,15,none,ranged,attack
859,11,none,strength,check
860,3,none,initiative,nan
861,11,advantage,stealth,check
862,1,none,perception,check
863,2,none,athletics,check
864,15,advantage,strength,save
865,10,none,melee,attack
866,18,none,initiative,nan
867,18,none,initiative,nan
868,7,none,intimidation,check
869,15,advantage,athletics,check
870,2,none,melee,attack
871,8,none,melee,attack
872,13,none,melee,attack
873,1,none,melee,attack
874,11,none,strength,check
875,15,none,ranged,attack
876,17,none,initiative,nan
877,3,none,constitution,check
878,5,none,strength,check
879,9,none,strength,check
880,9,none,dexterity,save
881,11,none,perception,check
882,20,advantage,dexterity,save
883,5,none,constitution,check
884,20,none,dexterity,check
885,20,advantage,melee,attack
886,4,none,strength,check
887,1,none,melee,attack
888,9,none,strength,check
889,1,none,investigation,check
890,18,none,persuasion,check
891,16,none,ranged,attack
892,10,none,dexterity,save
893,2,none,dexterity,save
894,9,none,dexterity,save
895,10,none,melee,attack
896,7,advantage,melee,attack
897,8,none,strength,check
898,12,none,dexterity,save
899,20,none,dexterity,save
900,5,none,initiative,nan
901,16,none,melee,attack
902,8,none,constitution,check
903,16,none,dexterity,save
904,3,none,athletics,check
905,15,none,wisdom,save
906,11,none,medicine,check
907,5,advantage,dexterity,save
908,13,none,melee,attack
909,13,none,melee,attack
910,4,none,perception,check
911,8,none,strength,check
912,7,none,persuasion,check
913,15,none,dexterity,save
914,10,none,athletics,check
915,17,none,melee,attack
916,13,none,melee,attack
917,19,none,insight,check
918,4,none,perception,check
919,20,none,strength,save
920,2,none,constitution,check
921,16,advantage,perception,check
922,19,none,ranged,attack
923,5,none,melee,attack
924,2,none,melee,attack
925,16,none,persuasion,check
926,20,none,dexterity,save
927,13,none,melee,attack
928,8,none,strength,check
929,6,none,intimidation,check
930,1,none,melee,attack
931,4,none,athletics,check
932,12,none,investigation,check
933,16,none,investigation,check
934,7,none,persuasion,check
935,19,none,investigation,check
936,1,none,melee,attack
937,8,advantage,initiative,nan
938,15,none,strength,check
939,10,none,dexterity,save
940,14,none,initiative,nan
941,5,none,persuasion,check
942,1,none,melee,attack
943,17,none,melee,attack
944,8,none,melee,attack
945,15,none,dexterity,save
946,12,none,perception,check
947,8,none,melee,attack
948,2,none,persuasion,check
949,13,none,medicine,check
950,5,none,wisdom,save
951,20,none,investigation,check
952,5,none,dexterity,save
953,13,advantage,initiative,nan
954,15,none,melee,attack
955,20,none,nature,check
956,19,none,melee,attack
957,13,none,thieves’ tools,check
958,11,none,investigation,check
959,1,none,melee,attack
960,20,none,arcana,check
961,16,none,strength,save
962,6,none,wisdom,save
963,6,none,melee,attack
964,14,advantage,nature,check
965,1,none,athletics,check
966,7,none,ranged,attack
967,13,none,medicine,check
968,9,none,strength,check
969,16,none,melee,attack
970,7,disadvantage,strength,check
971,16,none,athletics,check
972,19,advantage,charisma,check
973,5,none,constitution,check
974,18,none,ranged,attack
975,19,none,dexterity,check
976,17,advantage,strength,check
977,14,none,strength,check
978,6,none,initiative,nan
979,15,disadvantage,strength,check
980,4,none,melee,attack
981,20,none,melee,attack
982,16,none,dexterity,save
983,11,none,constitution,check
984,6,none,wisdom,save
985,15,none,perception,check
986,14,none,athletics,check
987,17,advantage,insight,check
988,7,none,strength,check
989,1,none,melee,attack
990,12,none,persuasion,check
991,15,none,melee,attack
992,11,none,melee,attack
993,5,none,constitution,save
994,14,none,sleight of hand,check
995,7,none,melee,attack
996,20,none,thieves’ tools,check
997,20,advantage,melee,attack
998,13,none,thieves’ tools,check
999,16,none,melee,attack
1000,19,none,sleight of hand,check
1001,13,none,persuasion,check
1002,1,none,melee,attack
1003,16,none,strength,check
1004,19,none,athletics,check
1005,12,none,dexterity,save
1006,3,none,constitution,check
1007,4,none,athletics,check
1008,18,none,melee,attack
1009,3,none,melee,attack
1010,2,none,melee,attack
1011,6,none,stealth,check
1012,3,none,dexterity,save
1013,1,none,strength,check
1014,16,none,melee,attack
1015,15,none,strength,save
1016,19,none,melee,attack
1017,12,none,initiative,nan
1018,16,none,melee,attack
1019,11,none,insight,check
1020,9,none,melee,attack
1021,11,none,sleight of hand,check
1022,7,none,persuasion,check
1023,3,none,melee,attack
1024,9,none,athletics,check
1025,15,none,charisma,check
1026,17,advantage,ranged,attack
1027,4,none,dexterity,save
1028,11,none,initiative,nan
1029,10,none,melee,attack
1030,8,none,melee,attack
1031,1,none,perception,check
1032,19,advantage,dexterity,save
1033,16,none,melee,attack
1034,11,none,melee,attack
1035,9,none,melee,attack
1036,1,none,constitution,check
1037,3,disadvantage,initiative,nan
1038,10,none,melee,attack
1039,7,none,investigation,check
1040,12,none,melee,attack
1041,13,advantage,initiative,nan
1042,3,none,constitution,save
1043,7,none,melee,attack
1044,14,none,strength,save
1045,19,none,investigation,check
1046,4,none,investigation,check
1047,14,none,melee,attack
1048,8,none,thieves’ tools,check
1049,1,none,melee,attack
1050,14,none,dexterity,save
1051,13,advantage,melee,attack
1052,7,none,initiative,nan
1053,5,none,strength,check
1054,14,none,melee,attack
1055,11,none,sleight of hand,check
1056,10,none,dexterity,check
1057,14,none,melee,attack
1058,8,none,dexterity,save
1059,17,none,deception,check
1060,12,advantage,dexterity,save
1061,17,advantage,strength,check
1062,5,none,dexterity,save
1063,17,none,dexterity,save
1064,14,advantage,initiative,nan
1065,9,none,dexterity,save
1066,17,none,melee,attack
1067,14,none,initiative,nan
1068,1,none,initiative,nan
1069,12,none,melee,attack
1070,18,none,constitution,check
1071,13,none,intimidation,check
1072,7,none,athletics,check
1073,1,none,initiative,nan
1074,16,none,initiative,nan
1075,14,none,athletics,check
1076,12,none,sleight of hand,check
1077,7,none,melee,attack
1078,10,none,dexterity,save
1079,20,none,strength,check
1080,15,none,melee,attack
1081,8,none,insight,check
1082,14,none,nature,check
1083,5,none,athletics,check
1084,4,none,strength,check
1085,13,none,melee,attack
1086,16,none,arcana,check
1087,9,none,charisma,check
1088,9,none,ranged,attack
1089,8,advantage,thieves’ tools,check
1090,11,none,insight,check
1091,9,none,athletics,check
1092,18,none,stealth,check
1093,9,none,constitution,save
1094,8,none,ranged,attack
1095,17,advantage,melee,attack
1096,1,none,wisdom,save
1097,9,none,ranged,attack
1098,7,none,initiative,nan
1099,2,none,melee,attack
1100,5,advantage,sleight of hand,check
1101,16,none,dexterity,save
1102,6,none,intimidation,check
1103,9,none,wisdom,save
1104,9,none,ranged,attack
1105,7,none,dexterity,save
